#f_gw[Hz], f_dot_total [yr^(-2)], m1 [msun], m2[msun], xGx[kpc], yGx[kpc], zGx[kpc]
3.528280649334192276e-03,-2.935465425252914429e-02,7.137802988290786743e-02,7.036219835281372070e-01,2.074627197265625000e+03,-1.842477661132812500e+03,-2.271113433837890625e+02
3.185095731168985367e-03,-1.595664955675601959e-02,6.360071897506713867e-02,8.363992571830749512e-01,7.393218994140625000e+02,2.310817108154296875e+02,1.757090301513671875e+02
3.723840927705168724e-03,-3.898077830672264099e-02,7.562015205621719360e-02,7.493798136711120605e-01,-1.155431884765625000e+03,1.702513061523437500e+03,-1.322675037384033203e+01
2.956092823296785355e-03,-1.071173138916492462e-02,5.864473059773445129e-02,7.663552761077880859e-01,6.405189941406250000e+03,-4.497079772949218750e+02,-1.387633819580078125e+02
3.068069461733102798e-03,-1.295319385826587677e-02,6.119330972433090210e-02,7.138066887855529785e-01,3.730250000000000000e+03,2.636290039062500000e+03,1.976682891845703125e+02
4.633066710084676743e-03,-1.389199942350387573e-01,9.555014222860336304e-02,7.544498443603515625e-01,9.542056884765625000e+02,3.690493469238281250e+02,6.941789550781250000e+02
3.550046589225530624e-03,-3.262501582503318787e-02,7.196145504713058472e-02,6.280385851860046387e-01,-3.117410400390625000e+03,4.592528808593750000e+03,1.509275817871093750e+02
5.843244493007659912e-03,-4.903898835182189941e-01,1.215745732188224792e-01,9.284254312515258789e-01,-3.672918701171875000e+03,7.432673339843750000e+02,1.468547821044921875e+02
3.315760986879467964e-03,-1.983517967164516449e-02,6.637874990701675415e-02,9.086212515830993652e-01,-3.368868164062500000e+03,-1.811315612792968750e+02,8.305157470703125000e+01
3.468959359452128410e-03,-2.498611435294151306e-02,6.983637064695358276e-02,8.551636338233947754e-01,-2.751579895019531250e+02,-7.084145507812500000e+02,-7.378690795898437500e+02
4.007401410490274429e-03,-6.276877224445343018e-02,8.194147795438766479e-02,6.930585503578186035e-01,5.946582641601562500e+02,-6.359691162109375000e+02,-4.163182067871093750e+02
3.361184149980545044e-03,-2.303922921419143677e-02,6.775742024183273315e-02,6.572425365447998047e-01,1.591830688476562500e+03,-1.171208801269531250e+02,-1.112481842041015625e+02
4.362788517028093338e-03,-9.822788834571838379e-02,8.964433521032333374e-02,7.603556513786315918e-01,-1.322166595458984375e+02,9.778683471679687500e+02,-1.579346618652343750e+02
3.398525528609752655e-03,-2.251063473522663116e-02,6.831953674554824829e-02,8.316804766654968262e-01,-2.997120849609375000e+03,-1.237790908813476562e+02,-6.882223510742187500e+01
3.974901512265205383e-03,-5.259628221392631531e-02,8.092440664768218994e-02,8.940755724906921387e-01,7.560714111328125000e+02,-1.027887329101562500e+03,2.715216979980468750e+02
3.606286831200122833e-03,-3.046973980963230133e-02,7.258401066064834595e-02,1.052415966987609863e+00,4.113355957031250000e+03,1.508439819335937500e+03,2.047879219055175781e+00
3.477605292573571205e-03,-2.513943612575531006e-02,6.974506378173828125e-02,1.055254936218261719e+00,1.031101684570312500e+02,2.239010498046875000e+03,1.697052383422851562e+01
3.419230924919247627e-03,-2.323385514318943024e-02,6.866669654846191406e-02,9.063332676887512207e-01,3.935735778808593750e+02,9.609180908203125000e+02,4.608152160644531250e+02
3.275331575423479080e-03,-1.926559582352638245e-02,6.586004793643951416e-02,6.591399312019348145e-01,9.205081787109375000e+02,-1.818717163085937500e+03,-1.498137512207031250e+02
4.256131593137979507e-03,-7.975549250841140747e-02,8.711766451597213745e-02,8.878823518753051758e-01,-4.825684509277343750e+02,-2.532798919677734375e+02,-1.493711547851562500e+02
3.806733759120106697e-03,-4.167296364903450012e-02,7.706885039806365967e-02,9.979311227798461914e-01,-1.445951660156250000e+04,-1.160604858398437500e+03,-3.317982101440429688e+01
3.343090647831559181e-03,-2.084543555974960327e-02,6.713365763425827026e-02,8.078663349151611328e-01,1.182705307006835938e+02,1.639823303222656250e+02,-1.511245727539062500e+02
3.372321138158440590e-03,-2.126995287835597992e-02,6.762716174125671387e-02,9.073728322982788086e-01,4.432552246093750000e+03,2.579115722656250000e+03,2.231354827880859375e+02
4.521570634096860886e-03,-1.043201535940170288e-01,9.279275685548782349e-02,9.822072386741638184e-01,4.958027832031250000e+03,3.278084472656250000e+03,-1.032820892333984375e+02
3.446640679612755775e-03,-2.503664605319499969e-02,6.949745118618011475e-02,7.555025219917297363e-01,1.535525024414062500e+03,-6.128248291015625000e+02,2.216541137695312500e+02
4.203566815704107285e-03,-7.556880265474319458e-02,8.607375621795654297e-02,8.139262199401855469e-01,-2.033618774414062500e+03,-3.510547607421875000e+03,-1.528638763427734375e+02
3.517143195495009422e-03,-2.868300303816795349e-02,7.105042785406112671e-02,7.539495825767517090e-01,4.070862731933593750e+02,-6.159254837036132812e+01,1.242594451904296875e+02
3.356900066137313843e-03,-2.141634188592433929e-02,6.743892282247543335e-02,8.075610399246215820e-01,2.228889160156250000e+03,-7.311354370117187500e+02,4.692280578613281250e+02
4.819929599761962891e-03,-1.520287692546844482e-01,9.936155378818511963e-02,9.506384730339050293e-01,-8.319894409179687500e+02,-4.150115051269531250e+02,-4.702364196777343750e+02
3.323511919006705284e-03,-2.036011591553688049e-02,6.681112200021743774e-02,7.331888675689697266e-01,-9.430865478515625000e+01,8.735993041992187500e+02,2.147529907226562500e+02
3.219152567908167839e-03,-1.685999706387519836e-02,6.439257413148880005e-02,8.106074333190917969e-01,2.817943420410156250e+02,1.019987335205078125e+02,-5.586933135986328125e+01
3.245922038331627846e-03,-1.728712022304534912e-02,6.493990123271942139e-02,8.350601196289062500e-01,1.922394866943359375e+02,-2.245025390625000000e+03,-3.610397033691406250e+02
3.236806951463222504e-03,-1.784587278962135315e-02,6.489335000514984131e-02,7.351066470146179199e-01,4.809666824340820312e+01,5.636041259765625000e+01,5.587317504882812500e+02
4.052069969475269318e-03,-6.404386460781097412e-02,8.285179734230041504e-02,7.421481609344482422e-01,-3.006883789062500000e+03,-8.941586914062500000e+03,-5.819573364257812500e+02
3.257366595789790154e-03,-1.815892755985260010e-02,6.512130051851272583e-02,8.848786950111389160e-01,2.964059753417968750e+02,2.734328918457031250e+02,8.704853057861328125e+01
5.008500069379806519e-03,-2.218879908323287964e-01,1.037056222558021545e-01,7.712944149971008301e-01,-1.986988403320312500e+03,2.857309326171875000e+03,-1.426663970947265625e+02
3.560482291504740715e-03,-2.893194556236267090e-02,7.178855687379837036e-02,9.032114148139953613e-01,1.020882568359375000e+03,2.077131103515625000e+03,-2.804658203125000000e+02
4.203077871352434158e-03,-7.926490157842636108e-02,8.617225289344787598e-02,7.388277649879455566e-01,-2.303517578125000000e+03,1.712788452148437500e+03,1.449330902099609375e+02
3.249686211347579956e-03,-1.708655990660190582e-02,6.471027433872222900e-02,1.060289740562438965e+00,3.214296142578125000e+03,-9.801602783203125000e+02,4.594745254516601562e+01
3.268523607403039932e-03,-1.855387166142463684e-02,6.552217900753021240e-02,7.844778299331665039e-01,4.160312194824218750e+02,7.031659545898437500e+02,1.703687477111816406e+01
3.747095819562673569e-03,-4.072500765323638916e-02,7.609273493289947510e-02,7.739073038101196289e-01,4.933511962890625000e+02,9.825483398437500000e+02,-1.809435272216796875e+02
4.323583561927080154e-03,-7.746782153844833374e-02,8.812497556209564209e-02,1.211874961853027344e+00,-6.052983886718750000e+03,-2.687462158203125000e+02,5.599168701171875000e+02
4.422716330736875534e-03,-9.555624425411224365e-02,9.073801338672637939e-02,9.092620015144348145e-01,3.516138000488281250e+02,1.511156005859375000e+02,4.483566894531250000e+02
3.531723050400614738e-03,-2.955033071339130402e-02,7.145403325557708740e-02,7.035459876060485840e-01,4.195914611816406250e+02,8.405308227539062500e+02,1.052416992187500000e+02
3.709352808073163033e-03,-3.805640712380409241e-02,7.522023469209671021e-02,7.997797727584838867e-01,-3.470722961425781250e+02,1.274975219726562500e+03,5.663363647460937500e+02
3.793518058955669403e-03,-4.432423412799835205e-02,7.719337940216064453e-02,7.228066325187683105e-01,9.734558105468750000e+02,-7.956606445312500000e+02,3.578332519531250000e+02
3.562576835975050926e-03,-2.940417267382144928e-02,7.194351404905319214e-02,8.280564546585083008e-01,-6.857833251953125000e+02,4.257617187500000000e+03,9.590000152587890625e+00
3.600223688408732414e-03,-3.117416799068450928e-02,7.281126081943511963e-02,8.021887540817260742e-01,-9.746046447753906250e+01,5.953477478027343750e+01,-2.051700897216796875e+02
3.793310606852173805e-03,-4.169432818889617920e-02,7.696212083101272583e-02,8.730378746986389160e-01,2.050526123046875000e+03,-9.765513916015625000e+02,7.029874420166015625e+01
4.399843048304319382e-03,-9.921802580356597900e-02,9.034454822540283203e-02,8.346554636955261230e-01,-4.232554626464843750e+02,-4.834517211914062500e+02,1.950413665771484375e+02
3.331865184009075165e-03,-1.996527239680290222e-02,6.669989228248596191e-02,9.333000779151916504e-01,3.919240722656250000e+03,-7.757994628906250000e+03,-4.344888610839843750e+02
3.635130124166607857e-03,-3.228836134076118469e-02,7.328706234693527222e-02,1.001712918281555176e+00,-2.193846679687500000e+03,-2.344245605468750000e+03,-1.190499267578125000e+02
4.846455529332160950e-03,-1.977189034223556519e-01,1.002318486571311951e-01,7.247681021690368652e-01,-2.931593017578125000e+03,4.168071289062500000e+03,-1.470766906738281250e+02
3.343561897054314613e-03,-2.095402590930461884e-02,6.710539013147354126e-02,8.328946232795715332e-01,-1.593800048828125000e+03,1.076279541015625000e+03,1.944621124267578125e+02
4.234925378113985062e-03,-7.953410595655441284e-02,8.676371723413467407e-02,8.132362961769104004e-01,-4.412780761718750000e+03,-8.460909179687500000e+03,-6.535353088378906250e+01
3.284673905000090599e-03,-1.955533213913440704e-02,6.599178165197372437e-02,7.090082168579101562e-01,1.073015365600585938e+02,4.309712890625000000e+03,1.728496551513671875e+01
3.642577677965164185e-03,-3.270872682332992554e-02,7.345035672187805176e-02,1.001549601554870605e+00,1.786801635742187500e+03,4.086642578125000000e+03,1.297823944091796875e+02
3.336054272949695587e-03,-2.012041397392749786e-02,6.679273396730422974e-02,9.332072734832763672e-01,1.846717895507812500e+03,-7.087869262695312500e+02,-3.722042236328125000e+02
3.278011688962578773e-03,-1.828364282846450806e-02,6.547687202692031860e-02,9.595231413841247559e-01,-1.589495971679687500e+03,5.140430908203125000e+02,4.229588699340820312e+01
5.464828107506036758e-03,-3.854525983333587646e-01,1.135692596435546875e-01,7.864307761192321777e-01,7.621651611328125000e+02,-4.206663513183593750e+02,2.967484436035156250e+02
3.715317696332931519e-03,-3.713737428188323975e-02,7.531696557998657227e-02,8.246830105781555176e-01,5.167311401367187500e+02,1.905070190429687500e+02,-3.878952026367187500e+02
4.547127988189458847e-03,-1.193148121237754822e-01,9.361211210489273071e-02,8.063878417015075684e-01,-9.365077614784240723e-01,-2.099830627441406250e+01,2.357611694335937500e+02
3.996649291366338730e-03,-5.112099647521972656e-02,8.094117045402526855e-02,1.219058871269226074e+00,2.045896148681640625e+02,1.025454330444335938e+02,-6.066376113891601562e+01
4.617465659976005554e-03,-1.343475431203842163e-01,9.518678486347198486e-02,7.798132300376892090e-01,-5.892689453125000000e+03,-7.231104125976562500e+02,-3.418169784545898438e+01
3.342605195939540863e-03,-2.133744396269321442e-02,6.719417870044708252e-02,7.578058242797851562e-01,-1.819609741210937500e+03,-1.721409912109375000e+03,-5.779185180664062500e+02
3.303954843431711197e-03,-1.974689401686191559e-02,6.634127348661422729e-02,7.586587071418762207e-01,-4.460194396972656250e+02,1.974411163330078125e+02,-1.590965423583984375e+02
4.046798683702945709e-03,-6.373944878578186035e-02,8.276767283678054810e-02,7.172323465347290039e-01,4.441973632812500000e+03,7.246165771484375000e+02,-3.591229629516601562e+01
4.010822158306837082e-03,-5.960037186741828918e-02,8.194074779748916626e-02,7.430592775344848633e-01,-2.312093658447265625e+02,-4.193388366699218750e+01,-2.258855285644531250e+02
3.649028949439525604e-03,-3.409999981522560120e-02,7.389306277036666870e-02,8.011069297790527344e-01,-4.835967285156250000e+03,-4.816920898437500000e+03,3.767301330566406250e+02
3.172674216330051422e-03,-1.527021918445825577e-02,6.301543116569519043e-02,1.061984539031982422e+00,2.045547363281250000e+03,-2.801528808593750000e+03,-5.455807495117187500e+01
3.550755092874169350e-03,-2.764250896871089935e-02,7.135736942291259766e-02,1.053642630577087402e+00,4.177030273437500000e+03,6.230507812500000000e+02,-1.781197662353515625e+02
4.077297635376453400e-03,-6.005432829260826111e-02,8.303727209568023682e-02,9.919627308845520020e-01,-5.467208862304687500e+02,1.081716690063476562e+02,4.191588134765625000e+02
5.306602455675601959e-03,-3.291409611701965332e-01,1.101731508970260620e-01,7.648268938064575195e-01,5.347577514648437500e+02,-7.608375854492187500e+02,3.461362609863281250e+02
3.448119852691888809e-03,-2.449266798794269562e-02,6.944982707500457764e-02,8.055501580238342285e-01,5.165493774414062500e+02,2.424977111816406250e+02,3.087408142089843750e+02
4.327048081904649734e-03,-9.233094006776809692e-02,8.882194012403488159e-02,7.861780524253845215e-01,1.284490234375000000e+03,8.999594726562500000e+03,-7.954010772705078125e+01
3.313995664939284325e-03,-1.997204311192035675e-02,6.659937649965286255e-02,7.334005832672119141e-01,-5.235670166015625000e+02,9.524196624755859375e+01,-1.318733673095703125e+02
3.398349974304437637e-03,-2.299835905432701111e-02,6.839065253734588623e-02,7.816093564033508301e-01,-1.228519287109375000e+02,-6.017302856445312500e+02,1.605251617431640625e+02
3.272163681685924530e-03,-1.906248554587364197e-02,6.571568548679351807e-02,7.092843055725097656e-01,3.862520019531250000e+03,-2.434032470703125000e+03,2.040416870117187500e+02
3.567170351743698120e-03,-3.165929764509201050e-02,7.223448902368545532e-02,7.027655243873596191e-01,-1.756232604980468750e+02,-1.193040161132812500e+03,-2.585749511718750000e+02
4.056460224092006683e-03,-6.453406065702438354e-02,8.294847607612609863e-02,7.420515418052673340e-01,-1.532384338378906250e+02,-1.471328125000000000e+03,3.247187500000000000e+02
3.497791010886430740e-03,-2.651691623032093048e-02,7.044073939323425293e-02,8.795592784881591797e-01,-1.834144775390625000e+03,5.162525634765625000e+02,2.354512023925781250e+02
3.709040582180023193e-03,-3.712573647499084473e-02,7.513958215713500977e-02,8.498604297637939453e-01,-1.752936889648437500e+03,1.214910522460937500e+03,-1.533799743652343750e+02
5.430700257420539856e-03,-2.921507656574249268e-01,1.125627830624580383e-01,1.012437224388122559e+00,7.860739707946777344e+00,-4.859413528442382812e+01,-5.995721435546875000e+01
5.520453210920095444e-03,-3.578584492206573486e-01,1.146335303783416748e-01,9.103664755821228027e-01,2.951178222656250000e+03,-5.186276367187500000e+03,-1.219228393554687500e+03
3.228217363357543945e-03,-1.819716952741146088e-02,6.481834501028060913e-02,6.601816415786743164e-01,1.016491638183593750e+03,9.119794464111328125e+01,9.851071166992187500e+02
3.187744412571191788e-03,-1.630504243075847626e-02,6.373238563537597656e-02,7.862676382064819336e-01,1.191152343750000000e+03,-8.738406982421875000e+02,4.226443862915039062e+01
4.244410898536443710e-03,-7.605090737342834473e-02,8.678737282752990723e-02,9.382126331329345703e-01,6.813179931640625000e+02,9.289718627929687500e+02,1.422381134033203125e+02
3.232015063986182213e-03,-1.730837672948837280e-02,6.467726826667785645e-02,8.103227615356445312e-01,-2.280824737548828125e+02,-2.929583740234375000e+02,-3.805805969238281250e+02
3.665626747533679008e-03,-3.360251709818840027e-02,7.399825751781463623e-02,9.760017395019531250e-01,7.542922973632812500e+02,-1.499009765625000000e+03,-3.306355285644531250e+01
4.063042346388101578e-03,-6.527537107467651367e-02,8.309332281351089478e-02,7.419066429138183594e-01,-6.081898193359375000e+02,-5.601929321289062500e+02,1.348921656608581543e+00
3.700030036270618439e-03,-3.741287812590599060e-02,7.501583546400070190e-02,7.999841570854187012e-01,-3.588375976562500000e+03,1.908898193359375000e+03,-3.635693359375000000e+01
3.453109646216034889e-03,-2.642499655485153198e-02,6.971134990453720093e-02,7.052886486053466797e-01,-1.395374755859375000e+03,1.828944396972656250e+02,1.474734954833984375e+02
3.436675528064370155e-03,-2.422112785279750824e-02,6.916505098342895508e-02,8.308349847793579102e-01,-7.928500976562500000e+02,-5.972592773437500000e+02,-4.547462158203125000e+02
3.085639560595154762e-03,-1.329152379184961319e-02,6.109094247221946716e-02,1.063909053802490234e+00,2.078087646484375000e+03,7.444184570312500000e+02,-2.224286346435546875e+02
5.273842252790927887e-03,-3.202679455280303955e-01,1.094862073659896851e-01,7.405138015747070312e-01,9.489982421875000000e+03,-2.060753662109375000e+03,-4.312928466796875000e+02
4.101932514458894730e-03,-6.981597840785980225e-02,8.394662290811538696e-02,7.410534024238586426e-01,4.077886962890625000e+03,1.582473876953125000e+03,-2.564615173339843750e+02
3.693229751661419868e-03,-3.569595888257026672e-02,7.482654601335525513e-02,8.251734375953674316e-01,2.046020355224609375e+02,1.252966674804687500e+03,3.197160949707031250e+02
7.016444113105535507e-03,-1.402505874633789062e+00,1.465432345867156982e-01,9.784567356109619141e-01,3.841973144531250000e+03,1.544597412109375000e+03,-8.248322296142578125e+01
3.766136011108756065e-03,-3.852259740233421326e-02,7.610753178596496582e-02,1.048892498016357422e+00,2.655297851562500000e+03,-2.270680541992187500e+02,-6.128853759765625000e+02
3.304161829873919487e-03,-1.879300549626350403e-02,6.601409614086151123e-02,9.839859008789062500e-01,-8.701531982421875000e+02,-3.545413574218750000e+03,4.601364135742187500e+01
4.039138089865446091e-03,-5.548203736543655396e-02,8.212170749902725220e-02,1.042878270149230957e+00,-9.465791320800781250e+01,1.536574707031250000e+02,-3.947290420532226562e+01
3.531896742060780525e-03,-2.869922295212745667e-02,7.130218297243118286e-02,8.036978244781494141e-01,-3.496217285156250000e+03,-2.523316162109375000e+03,1.065204620361328125e+02
3.758519422262907028e-03,-4.001169279217720032e-02,7.630979269742965698e-02,7.986901998519897461e-01,-1.275531494140625000e+03,-1.020447463989257812e+02,5.767715454101562500e+02
3.160496708005666733e-03,-1.485158968716859818e-02,6.291055679321289062e-02,9.370894432067871094e-01,1.511884765625000000e+03,2.342519775390625000e+03,-8.269987487792968750e+01
3.437550738453865051e-03,-2.438076213002204895e-02,6.914489716291427612e-02,8.558551073074340820e-01,6.539909057617187500e+02,2.997631835937500000e+02,3.562823486328125000e+01
3.926505334675312042e-03,-5.420581251382827759e-02,8.015582710504531860e-02,6.948441863059997559e-01,4.127860351562500000e+03,-1.727826660156250000e+03,-1.897937469482421875e+02
3.608250757679343224e-03,-3.037242032587528229e-02,7.272818684577941895e-02,9.772717952728271484e-01,-1.752168426513671875e+02,-1.891938476562500000e+02,6.054576492309570312e+01
3.314420115202665329e-03,-2.090731449425220490e-02,6.672703474760055542e-02,6.582729816436767578e-01,2.356520462036132812e+01,8.583908081054687500e+01,4.839788055419921875e+01
3.947698511183261871e-03,-5.349441617727279663e-02,8.048155903816223145e-02,7.945184707641601562e-01,-2.484253120422363281e+01,-1.351568937301635742e+00,-5.949697017669677734e+00
4.178226925432682037e-03,-8.462326973676681519e-02,8.574698120355606079e-02,6.392530202865600586e-01,-2.333054161071777344e+01,-5.716688537597656250e+01,2.357315216064453125e+02
3.578145522624254227e-03,-2.900584228336811066e-02,7.196351885795593262e-02,1.053036451339721680e+00,7.422204589843750000e+02,-9.877440429687500000e+03,-2.826971435546875000e+02
3.990063443779945374e-03,-5.189603194594383240e-02,8.103269338607788086e-02,1.043967366218566895e+00,-1.387927612304687500e+03,5.959323730468750000e+02,-2.428048095703125000e+02
3.390611615031957626e-03,-2.342129126191139221e-02,6.834003329277038574e-02,7.042756080627441406e-01,1.528879760742187500e+03,-1.716580200195312500e+03,-5.404023437500000000e+02
3.238807665184140205e-03,-1.779030822217464447e-02,6.497692316770553589e-02,7.100231051445007324e-01,1.013365402221679688e+02,-2.394107910156250000e+03,9.801288452148437500e+02
3.938589245080947876e-03,-5.265932530164718628e-02,8.028066903352737427e-02,7.947193384170532227e-01,1.374168945312500000e+03,-1.387868896484375000e+03,2.139293823242187500e+02
3.666344331577420235e-03,-3.440484404563903809e-02,7.419804483652114868e-02,8.508019447326660156e-01,-2.646953735351562500e+02,-1.395635009765625000e+03,6.314773178100585938e+01
3.221019404008984566e-03,-1.685375533998012543e-02,6.446911394596099854e-02,7.855308651924133301e-01,1.924260742187500000e+03,7.774255981445312500e+02,1.543274536132812500e+02
3.591000800952315331e-03,-3.176273033022880554e-02,7.264757901430130005e-02,7.773523926734924316e-01,-5.265867187500000000e+03,6.548696136474609375e+01,1.426328277587890625e+02
4.681611433625221252e-03,-1.397597640752792358e-01,9.648512303829193115e-02,8.535148501396179199e-01,2.164332427978515625e+02,-3.280915527343750000e+02,9.294706420898437500e+02
3.263216232880949974e-03,-1.762440800666809082e-02,6.507930159568786621e-02,1.009920597076416016e+00,3.583540039062500000e+03,-2.340161865234375000e+03,-3.664970703125000000e+02
4.440433345735073090e-03,-9.457436203956604004e-02,9.094250202178955078e-02,1.034057497978210449e+00,-2.284409423828125000e+03,-9.168644409179687500e+02,3.685603942871093750e+02
3.195484401658177376e-03,-1.607790961861610413e-02,6.386728584766387939e-02,8.111327290534973145e-01,5.452684570312500000e+03,-6.151608886718750000e+02,-1.327126159667968750e+02
4.378853831440210342e-03,-1.002042815089225769e-01,8.995136618614196777e-02,7.850486636161804199e-01,7.046147949218750000e+03,1.434411987304687500e+03,-4.702075805664062500e+02
4.286583513021469116e-03,-7.971149682998657227e-02,8.763524144887924194e-02,9.873647689819335938e-01,1.286530151367187500e+02,1.779353393554687500e+03,-5.348540496826171875e+01
3.266836982220411301e-03,-1.849123090505599976e-02,6.548491865396499634e-02,7.845150828361511230e-01,1.514619018554687500e+03,2.054417236328125000e+03,-3.214092712402343750e+02
3.456850536167621613e-03,-2.442429587244987488e-02,6.935615092515945435e-02,1.005643844604492188e+00,-1.049370239257812500e+03,1.933329101562500000e+03,3.919086837768554688e+01
4.426718223839998245e-03,-1.105438545346260071e-01,9.107726067304611206e-02,7.339227795600891113e-01,-1.059943969726562500e+03,1.222264526367187500e+03,1.202022171020507812e+02
4.838610999286174774e-03,-1.683374196290969849e-01,9.987673908472061157e-02,8.751232624053955078e-01,-1.268174438476562500e+03,-1.399011596679687500e+03,-6.853089141845703125e+01
4.614708013832569122e-03,-1.414765119552612305e-01,9.514987468719482422e-02,7.548501491546630859e-01,2.604816894531250000e+02,1.494832153320312500e+02,8.022631072998046875e+01
4.518508445471525192e-03,-1.058589518070220947e-01,9.264577925205230713e-02,1.032354235649108887e+00,5.743844985961914062e+01,-1.558312034606933594e+01,-2.041463775634765625e+02
3.794386517256498337e-03,-4.858566075563430786e-02,7.735393196344375610e-02,6.226460933685302734e-01,4.549825683593750000e+03,-1.360903167724609375e+02,-1.035302856445312500e+03
3.310185158625245094e-03,-2.000430598855018616e-02,6.647909432649612427e-02,7.585209012031555176e-01,-7.032565307617187500e+01,3.214770812988281250e+02,6.474701690673828125e+01
4.773157183080911636e-03,-1.758068799972534180e-01,9.864060580730438232e-02,7.263593673706054688e-01,4.711750488281250000e+03,2.607162597656250000e+03,2.023627014160156250e+02
3.306424245238304138e-03,-1.939225196838378906e-02,6.632015109062194824e-02,8.086798787117004395e-01,-1.179058715820312500e+03,1.375238281250000000e+03,-2.294796371459960938e+01
3.296505659818649292e-03,-1.900848746299743652e-02,6.609933078289031982e-02,8.089007139205932617e-01,-1.140657501220703125e+02,9.796149444580078125e+01,-5.579004516601562500e+02
